Date,position,fee,strategy_ret_gross,strategy_ret,strategy_excess_ret,rebalance_date,predicted_label,predicted_probability_raw,predicted_probability_smoothed,selected_smoothing_halflife,selected_lower_threshold,selected_upper_threshold,signal_zone,y_true,rising_entry_trigger,drawdown_entry_trigger,mapped_spy_next_ret,mapped_spy_next_rf_daily,mapped_spy_return_date,equity_predicted_strategy,equity_full_upper_bound_oracle
2011-01-18,1.0,0.0,-0.009805305306851086,-0.009805305306851086,-0.009811649459370853,2010-12-03,1,1.0,1.0,0,,0.5,bull,1,0,0,-0.009805305306851086,6.344152519766055e-06,2011-01-19,39.7892876898379,39.7892876898379
2011-01-19,1.0,0.0,-0.0013254249695465736,-0.0013254249695465736,-0.0013317691220663397,2010-12-03,1,1.0,1.0,0,,0.5,bull,1,0,0,-0.0013254249695465736,6.344152519766055e-06,2011-01-20,39.736549974413315,39.736549974413315
2011-01-20,1.0,0.0,0.002264208161924186,0.002264208161924186,0.00225786400940442,2010-12-03,1,1.0,1.0,0,,0.5,bull,1,0,0,0.002264208161924186,6.344152519766055e-06,2011-01-21,39.826521795192086,39.826521795192086
2011-01-21,1.0,0.0,0.005686645035234195,0.005686645035234195,0.005680300882714429,2010-12-03,1,1.0,1.0,0,,0.5,bull,1,0,0,0.005686645035234195,6.344152519766055e-06,2011-01-24,40.05300108762936,40.05300108762936
2011-01-24,1.0,0.0,0.0005418463396593687,0.0005418463396593687,0.0005355021871396026,2010-12-03,1,1.0,1.0,0,,0.5,bull,1,0,0,0.0005418463396593687,6.344152519766055e-06,2011-01-25,40.07470365966107,40.07470365966107
2011-01-25,1.0,0.0,0.0038710774285939387,0.0038710774285939387,0.0038647332760741726,2010-12-03,1,1.0,1.0,0,,0.5,bull,1,0,0,0.0038710774285939387,6.344152519766055e-06,2011-01-26,40.22983594045557,40.22983594045557
2011-01-26,1.0,0.0,0.0024681951111165112,0.0024681951111165112,0.0024622471723017014,2010-12-03,1,1.0,1.0,0,,0.5,bull,1,0,0,0.0024681951111165112,5.947938814809817e-06,2011-01-27,40.32913102484483,40.32913102484483
2011-01-27,1.0,0.0,-0.01746323670830119,-0.01746323670830119,-0.017469184647116,2010-12-03,1,1.0,1.0,0,,0.5,bull,1,0,0,-0.01746323670830119,5.947938814809817e-06,2011-01-28,39.62485386351787,39.62485386351787
2011-01-28,1.0,0.0,0.007516148958072177,0.007516148958072177,0.007510201019257368,2010-12-03,1,1.0,1.0,0,,0.5,bull,1,0,0,0.007516148958072177,5.947938814809817e-06,2011-01-31,39.92268016759791,39.92268016759791
2011-01-31,1.0,0.0,0.01600932888597395,0.01600932888597395,0.01600338094715914,2010-12-03,1,1.0,1.0,0,,0.5,bull,1,0,0,0.01600932888597395,5.947938814809817e-06,2011-02-01,40.56181548441054,40.56181548441054
2011-02-01,1.0,0.0,-0.0019124093274970333,-0.0019124093274970333,-0.0019187534800167994,2010-12-03,1,1.0,1.0,0,,0.5,bull,1,0,0,-0.0019124093274970333,6.344152519766055e-06,2011-02-02,40.484244690137935,40.484244690137935
2011-02-02,1.0,0.0,0.0022223909935188413,0.0022223909935188413,0.00221683930781591,2010-12-03,1,1.0,1.0,0,,0.5,bull,1,0,0,0.0022223909935188413,5.551685702931408e-06,2011-02-03,40.57421651091671,40.57421651091671
