Date,rebalance_date,predicted_probability_raw,predicted_probability_smoothed,y_true,selected_smoothing_halflife,next_ret,next_rf_daily,next_excess_ret
2016-09-02,2016-06-07,0.4368531107902527,0.8052147870266085,1,12,0.003022225800531464,1.2678218846096101e-05,0.003009547581685368
2016-09-06,2016-06-07,0.9583136439323425,0.8138075655980899,1,12,-9.128193113738803e-05,1.3469269551036334e-05,-0.00010475120068842436
2016-09-07,2016-06-07,0.8865817785263062,0.8178920683177348,1,12,-0.0022827460992583815,1.3864736012392243e-05,-0.0022966108352707737
2016-09-08,2016-06-07,0.6648944020271301,0.8093049691390777,0,12,-0.023934832338263212,1.3864736012392243e-05,-0.023948697074275604
2016-09-09,2016-06-07,0.0159048680216074,0.7647748431454457,0,12,0.014347180300429585,1.4655551191511407e-05,0.014332524749238074
2016-09-12,2016-06-07,0.24194364249706268,0.7354305826575999,0,12,-0.014375498991548774,1.4260163223367428e-05,-0.014389759154772142
2016-09-13,2016-06-07,0.006610215175896883,0.6945250386011086,0,12,-0.00037531076888031034,1.3073763831750185e-05,-0.0003883845327120605
2016-09-14,2016-06-07,0.013179955072700977,0.6562840774871278,0,12,0.009993100373347774,1.1491348215653119e-05,0.009981609025132121
2016-09-15,2016-06-07,0.1791061908006668,0.6295021406237532,0,12,-0.003865764726826537,1.1887011045930151e-05,-0.0038776517378724673
2016-09-16,2016-06-07,0.2814454436302185,0.6099672192792516,0,12,0.0001876312200019825,1.1887011045930151e-05,0.00017574420895605236
2016-09-19,2016-06-07,0.2677883505821228,0.5907621950878247,0,12,4.6565797430009326e-05,1.1887011045930151e-05,3.4678786384079174e-05
2016-09-20,2016-06-07,0.35872864723205566,0.5777391527335145,1,12,0.011245824475276445,8.720607641343747e-06,0.011237103867635101
2016-09-21,2016-06-07,0.7985419631004333,0.5901318622271715,1,12,0.006301356209614584,7.136461739776223e-06,0.006294219747874807
2016-09-22,2016-06-07,0.7915666699409485,0.6014375292599381,1,12,-0.0054791912370919515,7.136461739776223e-06,-0.005486327698831728
2016-09-23,2016-06-07,0.7728620767593384,0.6110588498115717,0,12,-0.008102457626958381,9.908303843175759e-06,-0.008112365930801557
2016-09-26,2016-06-07,0.3723324239253998,0.5976601650776675,1,12,0.006208009904403733,1.0304123909676832e-05,0.006197705780494056
2016-09-27,2016-06-07,0.7802757024765015,0.6079095876291789,1,12,0.004963789022596421,1.0699904655186998e-05,0.004953089117941234
2016-09-28,2016-06-07,0.9126375913619995,0.625012656283819,0,12,-0.009047439687974834,1.0304123909676832e-05,-0.009057743811884511
2016-09-29,2016-06-07,0.5278029441833496,0.6195566943781654,1,12,0.007546234848818667,1.1491348215653119e-05,0.007534743500603014
2016-09-30,2016-06-07,0.8892649412155151,0.6346942551073271,1,12,-0.0024041915055407204,1.2678218846096101e-05,-0.0024168697243868165
2016-10-03,2016-06-07,0.643701434135437,0.6351997892210788,0,12,-0.005097780229615934,1.3073763831750185e-05,-0.005110853993447684
2016-10-04,2016-06-07,0.2981167733669281,0.616280773272937,1,12,0.004425322516908858,1.2678218846096101e-05,0.004412644298062762
2016-10-05,2016-06-07,0.7767027020454407,0.6252845642862221,1,12,0.0006955004189821423,1.3073763831750185e-05,0.0006824266551503921
2016-10-06,2016-06-07,0.801548957824707,0.6351775245233141,0,12,-0.003429442753862477,1.3073763831750185e-05,-0.0034425165176942274
2016-10-07,2016-06-07,0.31357046961784363,0.6171271075203282,1,12,0.0052084926463720205,1.3073763831750185e-05,0.00519541888254027
2016-10-10,2016-06-07,0.806058943271637,0.6277310366581798,0,12,-0.012629933410964633,1.3864736012392243e-05,-0.012643798146977026
2016-10-11,2016-06-07,0.1327117383480072,0.5999477383046956,0,12,0.001312299995027244,1.4655551191511407e-05,0.0012976444438357326
2016-10-12,2016-06-07,0.17189620435237885,0.5759230517539664,0,12,-0.00327532730397162,1.1887011045930151e-05,-0.0032872143150175503
2016-10-13,2016-06-07,0.18121276795864105,0.55376966578435,0,12,0.0005162735498689397,1.2678218846096101e-05,0.0005035953310228436
2016-10-14,2016-06-07,0.2089594006538391,0.5344169526594927,0,12,-0.0034720791417833796,1.3469269551036334e-05,-0.003485548411334416
2016-10-17,2016-06-07,0.18990635871887207,0.5150810587861374,0,12,0.006262209559186216,1.3469269551036334e-05,0.00624874028963518
2016-10-18,2016-06-07,0.5340722799301147,0.5161469541258571,0,12,0.0026670783771001183,1.3864736012392243e-05,0.002653213641087726
2016-10-19,2016-06-07,0.7628090977668762,0.5299910364731162,0,12,-0.0018665186150760293,1.3864736012392243e-05,-0.0018803833510884216
2016-10-20,2016-06-07,0.6869520545005798,0.5388005814920886,0,12,0.00046721133927984937,1.3469269551036334e-05,0.00045374206972881304
2016-10-21,2016-06-07,0.6355856657028198,0.544232710865576,1,12,0.004252952603891691,1.3073763831750185e-05,0.004239878840059941
2016-10-24,2016-06-07,0.3523002862930298,0.5334603716177728,1,12,-0.0033509075702135016,1.3469269551036334e-05,-0.003364376839764538
2016-10-25,2016-06-07,0.6462011337280273,0.5397880243800005,0,12,-0.0020071775627080735,1.3073763831750185e-05,-0.0020202513265398236
2016-10-26,2016-06-07,0.6039577126502991,0.5433895922391725,0,12,-0.0026668698314009642,1.1887011045930151e-05,-0.0026787568424468944
2016-10-27,2016-06-07,0.3663461208343506,0.5334529057213578,0,12,-0.0029555450662247518,1.1887011045930151e-05,-0.002967432077270682
2016-10-28,2016-06-07,0.3505149483680725,0.5231853871282977,0,12,4.692369588110701e-05,1.3469269551036334e-05,3.3454426330070675e-05
2016-10-31,2016-06-07,0.46391913294792175,0.5198590278776426,0,12,-0.007245147075465197,1.3864736012392243e-05,-0.007259011811477589
2016-11-01,2016-06-07,0.09159598499536514,0.4958224702428454,0,12,-0.0060188632780929785,1.4655551191511407e-05,-0.00603351882928449
2016-11-02,2016-06-07,0.06624884158372879,0.47171235508053355,0,12,-0.004576847953852825,1.5050899925261874e-05,-0.004591898853778087
2016-11-03,2016-06-07,0.03896613419055939,0.44742417599868406,0,12,-0.0011017467697336247,1.5050899925261874e-05,-0.0011167976696588866
2016-11-04,2016-06-07,0.06076713278889656,0.4257227836920706,1,12,0.0220569375232873,1.623671079520328e-05,0.022040700812492098
2016-11-07,2016-06-07,0.847756028175354,0.4494096896098698,1,12,0.004503877099143239,1.7027055344120967e-05,0.004486850043799118
2016-11-08,2016-06-07,0.8184019923210144,0.47011963621469743,1,12,0.01060205367151612,1.781724314131594e-05,0.010584236428374805
2016-11-09,2016-06-07,0.9946067929267883,0.49955683837478787,1,12,0.0024955669283119875,1.900223106310328e-05,0.002476564697248884
2016-11-10,2016-06-07,0.9919266700744629,0.527191433593731,1,12,-0.0023047940338757344,1.900223106310328e-05,-0.0023237962649388377
2016-11-11,2016-06-07,0.9920334219932556,0.5532810096870625,1,12,0.0007852907485603744,2.17658330252668e-05,0.0007635249155351076
2016-11-14,2016-06-07,0.9956383109092712,0.5781086172584301,1,12,0.007802997440368609,2.0186866643179258e-05,0.007782810573725429
2016-11-15,2016-06-07,0.9922056794166565,0.601350099488552,1,12,-0.0018785740429053677,1.8607274248516603e-05,-0.0018971813171538843
