Date,position,fee,strategy_ret_gross,strategy_ret,strategy_excess_ret,signal_zone,rebalance_date,selected_smoothing_halflife,selected_lower_threshold,selected_upper_threshold,predicted_probability_raw,predicted_probability_smoothed,y_true,equity_predicted_strategy,predicted_label,predicted_bull_flag,predicted_bear_flag
2016-10-27,1,0.0,-0.0026668702750259,-0.0026668702750259,-0.00267875728607183,hold,2016-06-07,12,0.47,0.65,0.23922786116600037,0.569836115345224,0,2.062228895571652,1,1,0
2016-10-28,1,0.0,-0.0029554621634294,-0.0029554621634294,-0.0029673491744753302,hold,2016-06-07,12,0.47,0.65,0.28857263922691345,0.5540500094305478,0,2.0561340560984593,1,1,0
2016-10-31,1,0.0,4.700734276430474e-05,4.700734276430474e-05,3.3538073213268405e-05,hold,2016-06-07,12,0.47,0.65,0.2771226763725281,0.5385072725254408,0,2.0562307094968038,1,1,0
2016-11-01,1,0.0,-0.0072453143535192,-0.0072453143535192,-0.007259179089531592,hold,2016-06-07,12,0.47,0.65,0.3440399169921875,0.5275926585351635,0,2.0413326716231395,1,1,0
2016-11-02,1,0.0,-0.0060185272945019,-0.0060185272945019,-0.006033182845693412,hold,2016-06-07,12,0.47,0.65,0.0726199597120285,0.5020570031026502,0,2.029046855221817,1,1,0
2016-11-03,1,0.0,-0.0045771014566948,-0.0045771014566948,-0.004592152356620062,hold,2016-06-07,12,0.47,0.65,0.06536097079515457,0.47754713814021466,0,2.0197597019050795,1,1,0
2016-11-04,0,0.0005,1.5050899925261874e-05,-0.00048494910007473814,-0.0005,bear,2016-06-07,12,0.47,0.65,0.0505838468670845,0.4535835299578239,0,2.0187802212552737,0,0,1
2016-11-07,0,0.0,1.623671079520328e-05,1.623671079520328e-05,0.0,bear,2016-06-07,12,0.47,0.65,0.046488553285598755,0.43073504458826534,1,2.0188129996058852,0,0,1
2016-11-08,0,0.0,1.7027055344120967e-05,1.7027055344120967e-05,0.0,bear,2016-06-07,12,0.47,0.65,0.9593020081520081,0.46040122871203065,1,2.018847374046559,0,0,1
2016-11-09,0,0.0,1.781724314131594e-05,1.781724314131594e-05,0.0,hold,2016-06-07,12,0.47,0.65,0.8073559999465942,0.4798743037159363,1,2.018883344341088,0,0,1
2016-11-10,0,0.0,1.900223106310328e-05,1.900223106310328e-05,0.0,hold,2016-06-07,12,0.47,0.65,0.9860842823982239,0.5082856866968649,1,2.0189217076288863,0,0,1
2016-11-11,0,0.0,1.900223106310328e-05,1.900223106310328e-05,0.0,hold,2016-06-07,12,0.47,0.65,0.9790229201316833,0.5347061374697122,1,2.018960071645673,0,0,1
