Date,spy_predicted_label,spy_predicted_bull_flag,spy_predicted_bear_flag,spy_smoothed_prob,mid_predicted_label,mid_predicted_bull_flag,mid_predicted_bear_flag,mid_smoothed_prob,rut_predicted_label,rut_predicted_bull_flag,rut_predicted_bear_flag,rut_smoothed_prob
2016-10-26,1.0,1.0,0.0,0.5185406181667382,0,0,1,0.39870162327291436,0,0,1,0.44552114506126045
2016-10-27,1.0,1.0,0.0,0.4948806120498238,0,0,1,0.36860194889415426,0,0,1,0.40946438329855994
2016-10-28,1.0,1.0,0.0,0.46823755402745676,0,0,1,0.33870806827860195,0,0,1,0.37633938856533744
2016-10-31,0.0,0.0,1.0,0.44432978574720566,0,0,1,0.31162993066004835,0,0,1,0.34641797630314614
2016-11-01,0.0,0.0,1.0,0.4216514991137799,0,0,1,0.2901552217501448,0,0,1,0.32032659576011735
2016-11-03,0.0,0.0,1.0,0.015412072651088238,0,0,1,0.006833277642726898,0,0,1,0.0049652219749987125
2016-11-04,0.0,0.0,1.0,0.015332422824882286,0,0,1,0.007294320445056831,0,0,1,0.005133696856819855
2016-11-07,0.0,0.0,1.0,0.015061792444905988,0,0,1,0.008019154933653261,0,0,1,0.005418709111615994
2016-11-08,0.0,0.0,1.0,0.08312937976028555,0,0,1,0.04236689452513482,0,0,1,0.029230302921109837
2016-11-09,0.0,0.0,1.0,0.11414197007891486,0,0,1,0.0687112972308378,0,0,1,0.052846894348113946
2016-11-10,0.0,0.0,1.0,0.18633867531665338,0,0,1,0.2073801708823423,0,0,1,0.13004776900360476
2016-11-11,0.0,0.0,1.0,0.25082595971831234,0,0,1,0.328851904415224,0,0,1,0.2019000925786281
2016-11-14,0.0,0.0,1.0,0.31076909911518574,0,0,1,0.43256969588458055,0,0,1,0.2678764406305676
2016-11-15,0.0,0.0,1.0,0.3673560681117358,1,1,0,0.5219819406559217,0,0,1,0.32840493910496016
2016-11-16,0.0,0.0,1.0,0.4185890045552729,1,1,0,0.5943467024343517,0,0,1,0.3839071604258773
2016-11-17,1.0,1.0,0.0,0.46598764819445504,1,1,0,0.6563056410888188,0,0,1,0.43470393837104654
2016-11-18,1.0,1.0,0.0,0.5098909971023188,1,1,0,0.7098208231122207,1,1,0,0.48147878355798956
2016-11-21,1.0,1.0,0.0,0.5499784314672257,1,1,0,0.7555007237228097,1,1,0,0.5244433056674895
2016-11-22,1.0,1.0,0.0,0.5871061408556829,1,1,0,0.7936931833243339,1,1,0,0.5637879848854053
2016-11-23,1.0,1.0,0.0,0.6211029854509902,1,1,0,0.8254678855870969,1,1,0,0.5998520078993623
2016-11-25,1.0,1.0,0.0,0.652261503781657,1,1,0,0.8521633346674791,1,1,0,0.6329951525176958
2016-11-28,1.0,1.0,0.0,0.6809621367220583,1,1,0,0.8744484808581607,1,1,0,0.6633726697281008
2016-11-29,1.0,1.0,0.0,0.706996377852837,1,1,0,0.8935663550947838,1,1,0,0.691169038652726
